NRBTS_Name,LNBTS_Name,DN,ALARM_TIME,CANCEL_TIME,ALARM_NUMBER,TEXT,SUPPLEMENTARY_INFO
BOG.Multicentro-1,BOG.Multicentro-1,PLMN-PLMN/MRBTS-473/LNBTS-473,2024-02-12 14:10:00,,7651,BASE STATION OPERATION DEGRADED,BTS reference clock missing
BOG.Chico Reservado-2,BOG.Chico Reservado-2,PLMN-PLMN/MRBTS-432/LNBTS-432/LNCEL-153,2024-02-11 19:42:39,,7654,CELL OPERATION DEGRADED,VSWR minor alarm
CAL.Multicentro-2,CAL.Multicentro-2,PLMN-PLMN/MRBTS-611923/LNBTS-611923/LNADJGNB-0,2024-02-07 16:01:45,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Periodistas-2,BOG.Periodistas-2,PLMN-PLMN/MRBTS-8756/LNBTS-8756/LNADJGNB-0,2024-02-12 14:56:47,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
CAL.Normandia,CAL.Normandia,PLMN-PLMN/MRBTS-611927/LNBTS-611927/LNADJGNB-0,2024-02-12 16:25:56,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Quinta Paredes-2,BOG.Quinta Paredes-2,PLMN-PLMN/MRBTS-15973/LNBTS-15973/LNADJGNB-0,2024-02-14 01:55:32,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Iserra 100:H1,BOG.Iserra 100:H1,PLMN-PLMN/MRBTS-4085/LNBTS-4085/LNADJGNB-0,2024-02-08 17:07:21,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Murillo Toro,BOG.Murillo Toro,PLMN-PLMN/MRBTS-3899/LNBTS-3899,2024-02-07 11:27:41,,7107,BASE STATION CONNECTIVITY PROBLEM,Inter-Site CA link establishment failure
BOG.Centro Narino:H1,BOG.Centro Narino:H1,PLMN-PLMN/MRBTS-6452/LNBTS-6452,2024-02-13 16:44:11,,7657,BASE STATION CONNECTIVITY DEGRADED,Setup of X2 connectivity to gNB failed
CAL.Granada,CAL.Granada,PLMN-PLMN/MRBTS-611869/LNBTS-611869/LNADJGNB-0,2024-02-13 11:22:17,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Telmex Suba,BOG.Telmex Suba,PLMN-PLMN/MRBTS-1022/LNBTS-1022/LNADJGNB-0,2024-02-08 22:11:27,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
CAL.Via Pance,CAL.Via Pance,PLMN-PLMN/MRBTS-613644/LNBTS-613644/LNADJGNB-0,2024-02-13 18:36:50,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Tibabuyes-2,BOG.Tibabuyes-2,PLMN-PLMN/MRBTS-1027/LNBTS-1027/LNADJGNB-0,2024-02-13 15:56:16,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Pepe Sierra-2,BOG.Pepe Sierra-2,PLMN-PLMN/MRBTS-913/LNBTS-913/LNCEL-152,2024-02-13 14:09:54,,7654,CELL OPERATION DEGRADED,Antenna Line Device failure
BOG.Pepe Sierra-2,BOG.Pepe Sierra-2,PLMN-PLMN/MRBTS-913/LNBTS-913/LNCEL-2,2024-02-13 14:09:54,,7654,CELL OPERATION DEGRADED,Antenna Line Device failure
BUC.Fosunab,BUC.Fosunab,PLMN-PLMN/MRBTS-1894/LNBTS-1894/LNCEL-153,2024-02-12 12:13:26,,7654,CELL OPERATION DEGRADED,VSWR major alarm
BUC.Fosunab,BUC.Fosunab,PLMN-PLMN/MRBTS-1894/LNBTS-1894/LNCEL-153,2024-02-12 12:13:36,,7655,CELL NOTIFICATION,Transmission path failure
CAL.San Vicente,CAL.San Vicente,PLMN-PLMN/MRBTS-613688/LNBTS-613688,2024-02-07 20:44:13,,7107,BASE STATION CONNECTIVITY PROBLEM,Inter-Site CA link establishment failure
CAL.San Vicente,CAL.San Vicente,PLMN-PLMN/MRBTS-613688/LNBTS-613688,2024-02-12 21:25:48,,7107,BASE STATION CONNECTIVITY PROBLEM,Inter-Site CA link establishment failure
CAL.San Vicente,CAL.San Vicente,PLMN-PLMN/MRBTS-613688/LNBTS-613688/LNADJGNB-0,2024-02-07 20:43:09,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
CAL.San Vicente,CAL.San Vicente,PLMN-PLMN/MRBTS-613688/LNBTS-613688/LNADJGNB-0,2024-02-12 21:24:45,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.CC Santa Ana,BOG.CC Santa Ana,PLMN-PLMN/MRBTS-678/LNBTS-678/LNADJGNB-0,2024-02-13 14:29:05,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Monte Loma,BOG.Monte Loma,PLMN-PLMN/MRBTS-472/LNBTS-472/LNADJGNB-0,2024-02-09 13:23:02,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Lourdes,BOG.Lourdes,PLMN-PLMN/MRBTS-3234/LNBTS-3234,2024-02-10 11:02:58,,7401,EXTERNAL AL 1.,Power en baterias
BOG.Lourdes,BOG.Lourdes,PLMN-PLMN/MRBTS-3234/LNBTS-3234,2024-02-10 11:02:58,,7407,EXTERNAL AL 7.,Falla de AC Power
BOG.Lourdes,BOG.Lourdes,PLMN-PLMN/MRBTS-3234/LNBTS-3234/LNMME-8,2024-02-14 05:08:00,,7657,BASE STATION CONNECTIVITY DEGRADED,S1 interface setup failure
