NR_5020d,NR_5080a,NR_5124b,NR_5150a,fake_column,cluster,elapsed_weeks
99.88895702085563,1851789.638,22.25264851618408,96.68641291153207,1,BAR,0W2d
99.609375,64.721,0.013662174006935889,77.72045041987042,1,BCA,0W2d
99.8720270952951,13831265.398,398.89577516266235,82.3084907167537,1,BOG,0W2d
99.97644243397254,2173666.708,59.479560249451204,96.90355273550038,1,BUC,0W2d
99.96908541619507,3309036.622,126.88135986532191,93.08222000149877,1,CAL,0W2d
99.97988189345239,356809.587,12.157940176925322,96.28401124031346,1,CAR,0W2d
100.0,3420.409,0.06144857815783966,99.79311291524493,1,IBG,0W2d
99.96821008537442,2306760.586,52.457680910294386,96.72604119237083,1,MED,0W2d
99.9615938550168,43952.817,2.1344859415723056,77.49234904813709,1,SND,0W2d
100.0,2864.77,0.3855821630443803,76.35281804336246,1,VCO,0W2d
