Date,Site,NR_5152a,cluster
2024-02-19 09:00:00,BOG.NOC Ortezal,90.0,BOG
2024-02-19 09:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-19 09:00:00,BOG.Quinta Camacho-3,66.66666666666667,BOG
2024-02-19 09:00:00,BOG.Carrera 10,66.66666666666667,BOG
2024-02-19 09:00:00,BOG.Umb,0.0,BOG
2024-02-19 09:00:00,BOG.Calle 94,0.0,BOG
2024-02-19 09:00:00,BOG.Quinta Camacho-2,0.0,BOG
2024-02-19 09:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-19 09:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-19 10:00:00,BOG.Lourdes-1,90.73112697382652,BOG
2024-02-19 10:00:00,BOG.Andino-1,88.71217141594875,BOG
2024-02-19 10:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-19 10:00:00,BOG.Chico Reservado,81.60185185185185,BOG
2024-02-19 10:00:00,BOG.Carrera 10,66.66666666666667,BOG
2024-02-19 10:00:00,BOG.Santa Ana,98.07407407407408,BOG
2024-02-19 10:00:00,BOG.Plaza Claro-1,58.86643367269412,BOG
2024-02-19 10:00:00,BOG.Calle 94,0.0,BOG
2024-02-19 10:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-19 10:00:00,BOG.Quinta Camacho-3,43.56514788169464,BOG
2024-02-19 10:00:00,BOG.Umb,0.0,BOG
2024-02-19 10:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-19 10:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-19 10:00:00,BOG.Lourdes,55.55555555555556,BOG
2024-02-19 10:00:00,BOG.Quinta Camacho-2,0.0,BOG
2024-02-19 10:00:00,BOG.Centro,98.17361111111111,BOG
2024-02-19 10:00:00,BOG.Los Libertadores,93.81533101045297,BOG
2024-02-19 11:00:00,BOG.Suba-3,95.99074074074076,BOG
2024-02-19 11:00:00,BOG.Bosque Popular,25.0,BOG
